p,d,q,AIC,BIC,RMSE,status
2,1,1,33898.60503255886,33966.018147478164,670.3354195920092,success
2,1,2,33727.17787080791,33800.20235238507,356.30844354804253,success
2,1,3,33706.806265623556,33785.441126945334,339.9883057688027,success
2,1,4,33684.039082720745,33768.28333614445,415.6079548296509,success
2,1,5,33666.444060491915,33756.29671764449,352.4402980877815,success
2,1,6,33652.97047572307,33748.43054750011,347.46059741772734,success
3,0,0,33768.14914807574,33835.562262995045,547.320193051554,success
3,0,1,33741.64670843789,33814.6775829338,544.9888327976029,success
3,0,2,33735.17345219629,33813.82208626881,545.2682042448629,success
3,0,3,33711.64473309466,33795.90375029908,495.9943466671248,success
3,0,4,33692.38177092903,33782.25018386821,505.9157241277079,success
3,0,5,33672.67008650282,33768.14690704968,504.07111041482176,success
3,0,6,33659.4361660545,33760.52040535114,502.36181838621826,success
3,1,0,33887.89591395735,33955.30312772089,669.4501494159264,success
3,1,1,33881.962141396754,33954.98662297392,667.9002512827993,success
3,1,2,33721.82821589215,33800.469965282944,1140.6743183561669,success
3,1,3,33697.27984453928,33781.53148166975,1145.5456559306554,success
3,1,4,33682.39097855446,33772.25151553975,394.7201646317484,success
3,1,5,33667.7304784275,33763.198926652105,361.5883824809823,success
3,1,6,33654.1841401024,33755.259510219264,363.1565525641606,success
4,0,0,33729.26894413345,33802.29342571062,550.9507977436468,success
4,0,1,33726.070172691965,33804.71192208276,545.401278290002,success
4,0,2,33721.6014529673,33805.86047017172,544.6052783640254,success
4,0,3,33709.70936585895,33799.585650877,539.477713673023,success
4,0,4,33695.79593700332,33791.28112575119,501.7922489664913,success
4,0,5,33681.23098826276,33782.32409237121,509.0445090827145,success
4,0,6,33661.61261706242,33768.3126474311,506.5768726496121,success
4,1,0,33829.711317254936,33902.72940276802,642.6851590453459,success
4,1,1,33705.73318031803,33784.368041639806,333.5244840924989,success
4,1,2,33703.590602834316,33787.84223996479,346.73957609409797,success
4,1,3,33698.4522051425,33788.32061808168,382.3647827512706,success
4,1,4,33684.117717306945,33779.59453785381,372.5395666015241,success
4,1,5,33669.3796520918,33770.46389138844,368.99950171024096,success
4,1,6,33655.80256151674,33762.493229973436,369.3872825139378,success
5,0,0,33704.60582394565,33783.240685267425,548.4918066317916,success
5,0,1,33690.85953243743,33775.11116956791,398.4835919856844,success
5,0,2,33691.65673731992,33781.5251502591,524.5734829241561,success
5,0,3,33695.60173540928,33791.08692415715,519.3574658108301,success
5,0,4,33697.56443649884,33798.66640105541,526.6349744006867,success
5,0,5,33683.408814004884,33790.11820167491,522.0678189326559,success
5,0,6,33663.60911832866,33775.92493976938,506.54505047013134,success
5,1,0,33789.55796282976,33868.18593269188,622.2413866988355,success
5,1,1,33686.82024494786,33771.06449837157,372.5612834992343,success
5,1,2,33680.01693185918,33769.87746884447,848.2834539208086,success
5,1,3,33704.28456198367,33799.76138253054,890.1451839746219,success
5,1,4,33685.58462865069,33786.67773275914,366.375624292446,success
5,1,5,33670.85911655796,33777.55914692664,383.61188435773187,success
5,1,6,33657.27525047462,33769.58121727113,377.95492707980435,success
6,0,0,33685.22243964687,33769.46669307057,546.3195174480959,success
6,0,1,33686.5225070788,33776.38304406409,545.8575002242119,success
6,0,2,33678.80606865695,33774.282889203816,508.2141175017452,success
6,0,3,33674.702998041816,33775.79610215026,505.3892035118161,success
6,0,4,33679.976955401886,33786.68634307191,501.19166140489165,success
6,0,5,33684.54083574396,33796.866506975566,528.8920088670674,success
6,0,6,33667.02595021305,33784.9575627258,503.44130486368704,success
6,1,0,33770.08314225178,33854.32000833232,608.0216019329974,success
6,1,1,33670.73739245852,33760.59004961109,473.12740691023265,success
6,1,2,33670.47041165339,33765.938859878,424.9518148378274,success
6,1,3,33714.60203082711,33815.686270123755,402.7466649007665,success
6,1,4,33673.051375608244,33779.751405976924,375.6234176298345,success
6,1,5,33672.85880799681,33785.174629437526,383.04933677352136,success
6,1,6,33659.03787193114,33776.95913706748,386.8376706282115,success
7,0,0,33671.64882330125,33761.50148045382,546.3320148582677,success
7,0,1,33672.750983003694,33768.2194312283,540.7739320600879,success
7,0,2,33663.13257095187,33764.216810248516,666.9190579580047,success
7,0,3,33660.982393298895,33767.682423667575,489.77824042478375,success
7,0,4,33666.40326930124,33778.71909074196,505.83395812638685,success
7,0,5,33670.785836961484,33788.717449474236,534.7125662508795,success
7,0,6,33673.810283306135,33797.35768689092,505.6752332768595,success
7,1,0,33735.40309409663,33825.24786753385,580.1694669372497,success
7,1,1,33655.54087872929,33751.00095050633,399.1388077286113,success
7,1,2,33655.80950662232,33756.88487673918,406.2834255630882,success
7,1,3,33658.06900493996,33764.75967339666,961.253661710225,success
7,1,4,33662.28651762016,33774.59248441667,418.9502590688049,success
7,1,5,33657.6839920878,33775.60525722414,487.4220460570744,success
7,1,6,33668.75089169663,33792.2874551728,382.0295317664316,success
8,0,0,33652.42555369394,33747.885625470975,543.590380316562,success
8,0,1,33646.27582512675,33747.35119524362,316.6368119680319,success
8,0,2,33647.8885912675,33754.579259724196,596.5448682872142,success
8,0,3,33646.886839479324,33759.19280627584,518.6631826850422,success
8,0,4,33651.47068546627,33769.391950602614,501.9133056656074,success
8,0,5,33657.13083383246,33780.66739730863,550.8610901368501,success
8,0,6,33659.42786435467,33788.57972617067,508.0213153567705,success
8,1,0,33714.39367522726,33809.84536642735,562.7905818842518,success
8,1,1,33637.03508201963,33738.101578584436,914.7890818526914,success
8,1,2,33636.389699014435,33743.07100094394,1150.1514126948161,success
8,1,3,33649.52931070543,33761.82541799965,488.5186463068469,success
8,1,4,33647.25397066964,33765.16488332857,885.934387434068,success
8,1,5,33644.88029769421,33768.406015717854,426.6897239517278,success
8,1,6,33662.305970067435,33791.44649345579,865.1126618072472,success
