p,d,q,AIC,BIC,RMSE,status
5,0,3,42460.407182976356,42555.51166409974,5667.024537774734,success
5,0,4,42247.43771355814,42348.13657592407,5238.347988677948,success
5,0,5,42182.69459153698,42288.97827058448,5252.98626604806,success
5,0,6,42192.50968468194,42304.37716854437,5181.995778975369,success
5,1,0,42286.421029827805,42364.735319652274,5823.460702596305,success
5,1,1,42288.45085087685,42372.359018545925,5826.473231514423,success
5,1,2,42225.68652865862,42315.1885741723,8431.581419185215,success
5,1,3,42296.31092711858,42391.406850476866,5853.463210740314,success
5,1,4,42231.744976417904,42332.434777620794,4950.302281847057,success
5,1,5,42184.494831436736,42290.76894110604,8361.970228789007,success
5,1,6,42168.063060688844,42279.92046644574,7449.239346333508,success
6,0,0,42226.456842026644,42310.36500969572,5244.178206194273,success
6,0,1,42227.635878064924,42317.13792357861,5243.139786766027,success
6,0,2,42197.83780126503,42292.93372462331,5247.838867560762,success
6,0,3,44615.0866154222,44715.77641662509,5636.871363360803,success
6,0,4,42341.32344650584,42447.60712555334,5199.622401100223,success
6,0,5,42167.11182870959,42278.98938560169,5256.773980756236,success
6,0,6,42149.12621193964,42266.58706999519,5255.96074542235,success
6,1,0,42267.72559918512,42351.62621208194,5778.398683061119,success
6,1,1,42201.90822514854,42291.40221223848,8357.464883961356,success
6,1,2,42235.33072508274,42330.418086365804,5752.774026994368,success
6,1,3,42643.43295193325,42744.11368740944,11278.39895306394,success
6,1,4,42292.16238186003,42398.43649152933,5731.956581709279,success
6,1,5,42153.982376135966,42265.849859998394,7183.102369241267,success
6,1,6,42109.24728930407,42226.69756534881,8036.5137542982075,success
7,0,0,42206.42089954255,42295.91488663249,5243.517691046928,success
7,0,1,42193.583796697036,42288.6711579801,5245.774327928618,success
7,0,2,42171.77518282953,42272.45591830571,5275.350137393455,success
7,0,3,42188.54421483066,42294.81832449997,5269.660390145157,success
7,0,4,44484.31946426387,44596.1869481263,5125.5085396550185,success
7,0,5,42148.75402937396,42266.21488742951,5256.286951228001,success
7,0,6,42131.792188892396,42254.84642114106,5229.213756635895,success
7,1,0,42242.11102883605,42331.59695344157,5701.063651348128,success
7,1,1,42225.742287266745,42320.82108216011,5673.233747576968,success
7,1,2,42164.501775853874,42265.173441035084,8494.796025612217,success
7,1,3,47914.82528670225,48021.08982217131,1.5288378144152653e+50,success
7,1,4,42273.36346534446,42385.22087110136,5798.6517538897915,success
7,1,5,42133.4740567209,42250.924332765644,7866.831377074913,success
7,1,6,42111.038348564725,42234.08149489731,8060.510816913187,success
8,0,0,42186.45845808924,42281.537252982605,5238.468515276585,success
8,0,1,42170.41586540288,42271.08753058409,5247.346229510906,success
8,0,2,42150.98755052684,42257.2520859959,5270.732468526195,success
8,0,3,42154.76081087827,42266.61821663517,5255.443681111091,success
8,0,4,44361.6526601283,44479.10293617304,5564.164025995111,success
8,0,5,42126.712553284,42249.75569961659,5245.472255005346,success
8,0,6,42111.8269271162,42240.46294373663,5229.64088089403,success
8,1,0,42214.55079132377,42309.6210155086,5776.79611951174,success
8,1,1,42201.06333443403,42301.725924747385,5717.230175488231,success
8,1,2,42178.93381163816,42285.188768080036,5949.327210955427,success
8,1,3,42121.04260989886,42232.889932469254,7575.462693220337,success
8,1,4,42478.0960847128,42595.53577341171,5498.147446573645,success
8,1,5,42114.36192794543,42237.39398277286,7019.660262123451,success
8,1,6,42090.90945635486,42219.53387731081,7898.792770610669,success
