p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
4,0,2,9198.447088985884,14586.050576618005,14679.282067396853,16,16
4,0,3,9077.141785390437,14608.65036002202,14706.54342533981,16,16
4,0,4,9133.090887693648,14550.116167986927,14652.642309894429,16,16
4,0,5,9124.536895336349,14553.539460137745,14660.696048326818,16,16
4,0,6,9134.553978464757,14516.526082806227,14628.310481692857,16,16
4,1,0,8477.47607863699,14535.864633754107,14619.74965895115,16,16
4,1,1,8065.832750854339,14508.439346126637,14596.984650501297,16,16
4,1,2,7739.7597365899155,14507.040513282562,14600.246096834835,16,16
4,1,3,8092.111889000462,14500.541714472669,14598.407577202554,16,16
4,1,4,8106.475373685651,14484.579055417165,14587.076661511062,16,16
4,1,5,8114.576262574276,14469.495257575061,14576.621973174746,16,16
4,1,6,8140.198643523904,14436.549935140374,14548.303121097204,16,16
5,0,0,9047.517734094132,14570.89929189071,14659.44459626537,16,16
5,0,1,9026.083861924586,14557.939764195278,14651.145347747548,16,16
5,0,2,9057.941978640183,14562.624340823499,14660.490203553385,16,16
5,0,3,9086.560514419567,14575.21046484944,14677.736606756942,16,16
5,0,4,9119.615291651025,14549.500246689446,14656.68666777456,16,16
5,0,5,9082.157412281556,14539.31950584472,14651.135076128969,16,16
5,0,6,9195.401887263568,14546.480695250484,14662.922777424055,16,16
5,1,0,8451.839029040948,14517.956094339956,14606.476754148322,16,16
5,1,1,8336.652860111153,14491.860898425271,14585.040540328813,16,16
5,1,2,7996.552441534978,14498.284219601264,14596.122843599984,16,16
5,1,3,8081.029222151841,14484.227392059214,14586.72499815311,16,16
5,1,4,8175.449758972125,14477.015011623904,14584.171599812978,16,16
5,1,5,8346.50497015367,14470.70552058392,14582.489919470547,16,16
5,1,6,8182.008837098299,14428.921211134406,14545.330779839442,16,16
6,0,0,9066.184329414504,14554.60140207316,14647.781043976704,16,16
6,0,1,9030.447576747467,14542.59762966329,14640.43625366201,16,16
6,0,2,9026.672843884198,14539.309221570353,14641.806827664248,16,16
6,0,3,9152.705405978102,14560.958980632156,14668.115568821227,16,16
6,0,4,9139.67669786695,14550.764160073151,14662.579730357402,16,16
6,0,5,9089.381305127246,14536.919134752527,14653.393687131957,16,16
6,0,6,9221.171917360036,14569.996957209094,14691.096722669608,16,16
6,1,0,8324.887173669302,14490.267180410974,14583.420846149831,16,16
6,1,1,7789.043405108387,14468.632877141295,14566.444226167096,16,16
6,1,2,8364.94953130298,14450.272243954332,14552.741276267074,16,16
6,1,3,8044.893176923002,14474.410808217423,14581.53752381711,16,16
6,1,4,8254.551646839383,14464.589083069106,14576.373481955736,16,16
6,1,5,8341.234244247793,14471.521462740138,14587.963544913708,16,16
6,1,6,8153.1684814205355,14429.753295373057,14550.819246826293,16,16
7,0,0,9060.16490112873,14532.602925760882,14630.414274786684,16,16
7,0,1,9056.090063735901,14509.561954335495,14612.030986648238,16,16
7,0,2,9071.452485379476,14521.527178166018,14628.653893765702,16,16
7,0,3,9113.942283736847,14537.104834979553,14648.889233866183,16,16
7,0,4,9088.046045287992,14517.772463565227,14634.2145457388,16,16
7,0,5,9118.976437758753,14523.058068662482,14644.157834122994,16,16
7,0,6,9174.997056499338,14561.539757870418,14687.297206617875,16,16
7,1,0,8024.21514031502,14464.668002353808,14562.452040066037,16,16
7,1,1,8095.866093067532,14452.313993658594,14554.754414119023,16,16
7,1,2,8334.615764391123,14435.689751431517,14542.786554640146,16,16
7,1,3,8028.1007692087005,14455.087684232742,14566.840870189573,16,16
7,1,4,8161.682684969984,14444.003816262655,14560.413384967687,16,16
7,1,5,8784.20946876961,14450.811055569424,14571.877007022656,16,16
7,1,6,8257.174844250821,14430.15264664029,14555.874980841727,16,16
8,0,0,9063.865817053662,14511.786074616779,14614.226495077208,16,16
8,0,1,9084.02155755605,14501.70492816904,14608.801731377669,16,16
8,0,2,9087.333465969608,14500.650968906364,14612.404154863198,16,16
8,0,3,9028.958572988015,14494.201978986208,14610.611547691242,16,16
8,0,4,9034.409267565317,14515.267260822406,14636.33321227564,16,16
8,0,5,2.724031331144573e+20,14714.466660680842,14840.188994882279,16,16
8,0,6,20274.471083275726,14566.812378994164,14697.1910959438,16,16
8,1,0,8245.277125683519,14447.09238681106,14549.50415724397,16,16
8,1,1,8111.036056327478,14436.671550848176,14543.738401755309,16,16
8,1,2,8219.064508723926,14438.056103286694,14549.77803466805,16,16
8,1,3,8189.540158551998,14426.29742088464,14542.67443274022,16,16
8,1,4,inf,16521.34394422703,16642.37603655683,16,16
8,1,5,896357.1623316854,14729.122623228244,14854.80979603227,16,16
8,1,6,8316.319671190713,14407.036867297464,14537.379120575712,16,16
