p,d,q,AIC,BIC,RMSE,status
4,1,5,37558.292876780935,37658.97361225712,2566.991494034739,success
4,1,6,37545.61947785866,37651.88401332771,2533.1405596042046,success
5,0,0,37636.20190517332,37714.52324256905,2130.5896608022904,success
5,0,1,37610.293864621824,37694.209583260104,1865.9705593685449,success
5,0,2,37597.76133695943,37687.27143684026,1986.1732374044097,success
5,0,3,37600.47429624862,37695.578777372,1984.0860469504091,success
5,0,4,37601.31988361811,37702.018745984045,1943.271259959856,success
5,0,5,37591.286501838484,37697.57018088598,1931.965266033172,success
5,0,6,37572.2183884502,37684.08587231263,1938.7019233686988,success
5,1,0,37703.55175162753,37781.866041452,1582.8634904435908,success
5,1,1,37598.13093513092,37682.039102799994,1575.1427028365238,success
5,1,2,37580.12589852617,37669.62794403985,1533.8339818687516,success
5,1,3,37573.22990424601,37668.32582760429,1520.7826332075485,success
5,1,4,37574.4005760025,37675.09037720539,1521.857582048464,success
5,1,5,37577.57861665398,37683.85272632328,2683.7792530780325,success
5,1,6,37553.92571448497,37665.78312024187,1535.5808529626106,success
6,0,0,37619.90392862586,37703.81209629494,2130.0869101772723,success
6,0,1,37606.65570174552,37696.1577472592,2168.5422666442414,success
6,0,2,37576.2893302927,37671.38525365098,1919.2021346285605,success
6,0,3,45712.87124298614,45813.56104418903,1.3851521792749557e+79,success
6,0,4,37575.66263444091,37681.946313488406,1919.2089875098363,success
6,0,5,37788.59576066655,37900.47331755865,2110.8360850015397,success
6,0,6,37567.36896674569,37684.82982480124,1952.4195505885914,success
6,1,0,37658.95546141117,37742.85607430799,1576.9064306323723,success
6,1,1,37579.7161250295,37669.21011211944,1538.1042951009804,success
6,1,2,37563.68196538364,37658.769326666705,1546.8880259830107,success
6,1,3,37552.829120874565,37653.50985635075,1530.3172184350294,success
6,1,4,37552.10925076776,37658.38336043707,1553.4029131066739,success
6,1,5,37558.69082662478,37670.558310487206,1524.1752924941052,success
6,1,6,37537.80356126097,37655.25383730571,2413.073592738435,success
7,0,0,37591.40941903432,37680.90340612426,2125.255944146796,success
7,0,1,37574.237179135904,37669.324540418966,1927.1148217830757,success
7,0,2,37575.90459044281,37676.585325919,1912.821550886872,success
7,0,3,40290.51128155835,40396.785391227655,27805338.64160255,success
7,0,4,37557.363130129714,37669.23061399214,1989.8548469653156,success
7,0,5,37612.55145775965,37730.0123158152,1984.999098764986,success
7,0,6,37586.15157554639,37709.20580779506,2055.599923827549,success
7,1,0,37628.76982019411,37718.25574479963,1569.3004076765824,success
7,1,1,37558.50348840555,37653.582283298914,1757.0029374942058,success
7,1,2,37546.72511918267,37647.39678436388,1558.4501084240155,success
7,1,3,37551.242960969656,37657.50749643871,2277.5526731074738,success
7,1,4,37530.94544644508,37642.80285220198,2835.8936097719366,success
7,1,5,37536.43148963338,37653.881765678125,1541.182838790826,success
7,1,6,37717.74803220787,37840.79117854046,2034.7849434145944,success
8,0,0,37570.08952335696,37665.168318250326,2120.7231929364852,success
8,0,1,37553.90046910342,37654.57213428463,1902.174330656872,success
8,0,2,37543.99065168987,37650.255187158924,1922.1685668473908,success
8,0,3,37552.03854292923,37663.89594868613,1988.9518486166621,success
8,0,4,37566.96695257077,37684.417228615515,1987.27247392621,success
8,0,5,37592.30766822973,37715.35081456232,1932.0803277609573,success
8,0,6,37569.13342301414,37697.76943963457,2063.834437756374,success
8,1,0,37603.37147159539,37698.441695780224,1561.4284527569225,success
8,1,1,37540.54270848635,37641.2052987997,2473.5312786038176,success
8,1,2,37543.83830535431,37650.09326179618,1765.887691550882,success
8,1,3,37531.46388222732,37643.31120479771,1546.7294847904375,success
8,1,4,37531.17905644438,37648.61874514329,2182.1224930040244,success
8,1,5,37532.40128418906,37655.43333901649,1524.8659030128654,success
8,1,6,37520.67755048025,37649.3019714362,2732.7143324381877,success
