p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
3,1,0,8360.025096655381,31405.03512087517,31470.290231120285,17,17
3,1,1,8752.040663821352,31252.802115661805,31323.49515176068,17,17
3,1,2,8848.43895775309,31245.817951090936,31321.948913043576,17,17
3,1,3,9274.060964424896,31212.524191788398,31294.084224465638,17,17
3,1,4,8008.650204855726,31201.176065009156,31288.163982116104,17,17
3,1,5,10487.088684369119,31180.653485278413,31273.06809946099,17,17
3,1,6,7943.3873489234775,31081.217916956706,31179.058039799947,17,17
4,0,0,12613.305345725748,31376.117627927615,31446.810664026492,17,17
4,0,1,10583.532954686103,31252.659028549126,31328.789990501766,17,17
4,0,2,10412.883902961421,31251.15703971901,31332.725927525404,17,17
4,0,3,10692.78139612566,31245.3035445247,31332.310358184855,17,17
4,0,4,10488.891833520938,31226.374872167213,31318.80957586808,17,17
4,0,5,10463.70516177992,31222.51039106694,31320.371797812255,17,17
4,0,6,10704.719174155998,31201.293616438423,31304.580538171886,17,17
4,1,0,8892.206406372876,31352.949288103442,31423.63464975705,17,17
4,1,1,8944.356563019966,31231.670055148254,31307.792752313668,17,17
4,1,2,8574.998232450695,31224.827734940656,31306.387767617893,17,17
4,1,3,7438.248784683559,31207.210743094358,31294.208111283402,17,17
4,1,4,8936.399405051252,31199.218502313754,31291.64316423988,17,17
4,1,5,10321.198126080262,31180.86867319444,31278.719441152458,17,17
4,1,6,9936.35152377265,31074.48873722373,31177.764422447155,17,17
5,0,0,12300.782782974287,31330.375821625465,31406.49851879088,17,17
5,0,1,10550.101539904354,31230.372971044675,31311.933003721908,17,17
5,0,2,10520.026864828007,31227.39269670789,31314.390064896947,17,17
5,0,3,10584.280379693417,31219.527020492693,31311.961724193563,17,17
5,0,4,10453.818660774183,31226.67320946448,31324.54524867717,17,17
5,0,5,10402.454545863677,31222.38919793857,31325.687349503074,17,17
5,0,6,10634.826922254115,31189.785861021614,31298.50893653053,17,17
5,1,0,9292.629742586338,31319.512585442917,31395.6270129115,17,17
5,1,1,8072.792664966183,31211.183932690346,31292.735104978114,17,17
5,1,2,8504.199366557245,31204.863580757657,31291.851497864598,17,17
5,1,3,8332.884509783073,31191.28621161086,31283.71087353699,17,17
5,1,4,9156.615409323536,31202.730589588762,31300.591996334082,17,17
5,1,5,9657.883640759113,31189.010553982123,31292.297475715593,17,17
5,1,6,10272.189501820132,31091.9892119534,31200.70045955701,17,17
6,0,0,12329.644695790126,31298.26490691163,31379.816079199398,17,17
6,0,1,11309.432677844467,31220.71087286963,31307.698789976577,17,17
6,0,2,10548.75883084136,31207.818616517943,31300.243278444075,17,17
6,0,3,3.0375729753337387e+53,34071.04095024378,34168.9023569891,17,17
6,0,4,10572.411118399365,31205.56041050527,31308.858562069767,17,17
6,0,5,10650.205272185913,31237.18355657639,31345.918452960075,17,17
6,0,6,10787.388236038223,31150.25174612715,31264.410975411512,17,17
6,1,0,9226.313373542967,31278.441796859872,31359.98410349156,17,17
6,1,1,9039.041043036877,31192.832135571283,31279.810595978415,17,17
6,1,2,8447.347331583991,31151.564265031284,31243.978879213853,17,17
6,1,3,7696.604983565874,31186.433711318285,31284.284479276306,17,17
6,1,4,8997.337788780615,31181.926132213626,31285.213053947096,17,17
6,1,5,11325.405716686142,31182.400682125037,31291.123757633948,17,17
6,1,6,10028.781136397525,31074.51500196118,31188.66181194496,17,17
7,0,0,12150.683150589484,31258.157100423967,31345.135560831102,17,17
7,0,1,10649.176311207735,31188.567920662594,31280.982534845167,17,17
7,0,2,10591.0026901558,31191.083999211296,31288.934767169325,17,17
7,0,3,11138.488392759258,31303.66518890913,31406.9521106426,17,17
7,0,4,10512.129799479771,31202.62115091822,31311.344226427136,17,17
7,0,5,10640.240061104056,31201.045135097127,31315.204364381483,17,17
7,0,6,10876.154950522425,31216.362384143806,31335.957767203614,17,17
7,1,0,9082.736120826823,31245.86042852745,31332.829426610337,17,17
7,1,1,9003.279330938693,31170.71926297168,31263.12382343475,17,17
7,1,2,9015.4989136308,31106.986291182693,31204.82641402593,17,17
7,1,3,8130.701229208384,31174.462235962706,31277.737921186133,17,17
7,1,4,7233.603769909119,31151.369015652133,31260.08026325574,17,17
7,1,5,12666.923353845808,31170.668772784084,31284.815582767867,17,17
7,1,6,10152.850010105589,31161.979319389466,31281.561691753435,17,17
8,0,0,11928.022315825077,31229.29290795223,31321.697468415292,17,17
8,0,1,10659.035011232814,31167.96112067721,31265.80124352045,17,17
8,0,2,10660.451585992643,31169.19448577441,31272.47017099783,17,17
8,0,3,10573.142177204885,31193.664200829615,31302.37544843323,17,17
8,0,4,2.7378688557639762e+35,31612.47147474251,31726.618284726297,17,17
8,0,5,10607.96006884097,31190.42234133332,31310.004713697283,17,17
8,0,6,11056.722664772567,31204.687947595423,31329.705882339575,17,17
8,1,0,8871.09112425892,31211.73613339686,31304.130634157304,17,17
8,1,1,9051.99044203459,31149.263135800735,31247.092607194147,17,17
8,1,2,8998.546982451777,31071.765375011462,31175.029817037837,17,17
8,1,3,8926.847490356779,31165.904750038062,31274.604162697407,17,17
8,1,4,7036.746687423732,31134.11221510956,31248.246598401875,17,17
8,1,5,7935.643920706183,31136.975144936565,31256.54449886185,17,17
8,1,6,9595.944126863724,31069.921753204326,31194.92607776257,17,17
