p,d,q,AIC,BIC,RMSE,status
6,1,4,42274.719167192074,42336.27948253678,9077.614137165081,success
6,1,5,42273.90517567335,42341.06188332212,8518.598174520705,success
6,1,6,42248.88241045494,42321.635510407774,8561.930466107407,success
7,0,0,42327.888483637435,42378.26053358074,7901.600222796821,success
7,0,1,42314.41234842672,42370.38129280816,7892.9422200123645,success
7,0,2,42293.80870689253,42355.37454571212,7863.181673738174,success
7,0,3,42286.20227768721,42353.365010944945,7832.489791499665,success
7,0,4,42291.76757182759,42364.52719952347,7809.155806648161,success
7,0,5,42265.46260064028,42343.81912277431,7904.037124246058,success
7,0,6,42266.4489567157,42350.40237328787,7684.641377248664,success
7,1,0,42384.92064987928,42429.69178831179,4938.908191053837,success
7,1,1,42368.77383185286,42419.141362589435,4948.783761061238,success
7,1,2,42300.624724812355,42356.588647852994,8355.28321148283,success
7,1,3,42268.37893029763,42329.93924564234,7678.995882182523,success
7,1,4,42271.38568683421,42338.54239448298,7695.574051100485,success
7,1,5,42274.46031927763,42347.21341923046,8977.71891211725,success
7,1,6,42251.20765709597,42329.55714935287,8974.397309137616,success
8,0,0,42329.3202617193,42385.289206100744,7878.370131558939,success
8,0,1,42314.142788728626,42375.708627548214,7861.908705561261,success
8,0,2,42295.577406075,42362.74013933273,7861.492460675041,success
8,0,3,42284.19747652346,42356.95710421934,7918.9573378151335,success
8,0,4,42284.15132538369,42362.507847517714,7882.958983952508,success
8,0,5,42266.67660047751,42350.63001704968,7870.830742152828,success
8,0,6,42267.775718305085,42357.326029315394,7743.446239772438,success
8,1,0,42378.22469891301,42428.592229649585,4945.418074159979,success
8,1,1,42364.6891888776,42420.65311191824,4959.9386674141215,success
8,1,2,42342.218582050205,42403.778897394914,4980.403161397752,success
8,1,3,42269.87761252361,42337.03432017238,7748.00283991217,success
8,1,4,42268.20861252188,42340.96171247471,8841.898918654642,success
8,1,5,42313.40976578658,42391.75925804348,4866.192489389703,success
8,1,6,42251.983398348006,42335.92928290897,9247.534441673677,success
