StateCode,State,Model_Class,Rank,Order,Selection_RMSE,Holdout_RMSE,AIC,BIC
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,10,"(0, 0, 3)",30821.830565496977,9682.521611669115,17367.46389502978,17446.7106621918
CAICLAIMS,California,Simple SARIMAX,1,"(2, 1, 2)",4917.398979643193,4917.398979643193,45519.25006142877,45591.99009605387
CAICLAIMS,California,Simple SARIMAX,2,"(2, 1, 3)",4932.250823143949,4932.250823143949,45485.30750479162,45563.63588621265
CAICLAIMS,California,Simple SARIMAX,3,"(3, 1, 2)",4940.778976533375,4940.778976533375,45572.71705926553,45651.052481169485
CAICLAIMS,California,Simple SARIMAX,4,"(3, 1, 4)",4950.301756448721,4950.301756448721,45448.54635762211,45538.056457502935
CAICLAIMS,California,Simple SARIMAX,5,"(1, 1, 2)",4964.712890348179,4964.712890348179,45515.83423426364,45582.97888160989
CAICLAIMS,California,Simple SARIMAX,6,"(1, 1, 1)",4966.060604240012,4966.060604240012,45594.66809488856,45656.22288398346
CAICLAIMS,California,Simple SARIMAX,7,"(3, 1, 5)",4969.806132150412,4969.806132150412,45424.10465069301,45519.2005740513
CAICLAIMS,California,Simple SARIMAX,8,"(0, 1, 6)",4971.8105444888215,4971.8105444888215,45400.98828590097,45484.88889879778
CAICLAIMS,California,Simple SARIMAX,9,"(1, 1, 3)",4972.321762550256,4972.321762550256,45490.79560684828,45563.529103882094
CAICLAIMS,California,Simple SARIMAX,10,"(2, 1, 6)",4977.195950511445,4977.195950511445,45404.64061855448,45499.72797983754
HIICLAIMS,Hawaii,ARIMA,1,"(8, 1, 0)",197.61798422610767,197.61798422610767,33832.7858569614,33883.35453836044
HIICLAIMS,Hawaii,ARIMA,2,"(0, 1, 3)",197.68384625841765,197.68384625841765,33855.556988304976,33878.031957815656
HIICLAIMS,Hawaii,ARIMA,3,"(7, 1, 0)",197.7093685502633,197.7093685502633,33838.07473077714,33883.0246697985
HIICLAIMS,Hawaii,ARIMA,4,"(6, 1, 0)",197.7160151658762,197.7160151658762,33856.74910450798,33896.08030115168
HIICLAIMS,Hawaii,ARIMA,5,"(0, 1, 2)",197.80390521777144,197.80390521777144,33947.3810940648,33964.237321197805
HIICLAIMS,Hawaii,ARIMA,6,"(5, 1, 0)",197.82595049538935,197.82595049538935,33860.27182616772,33893.984280433746
HIICLAIMS,Hawaii,ARIMA,7,"(4, 1, 0)",198.03195292544825,198.03195292544825,33883.92769102173,33912.02140291008
HIICLAIMS,Hawaii,ARIMA,8,"(1, 1, 0)",198.36427940705624,198.36427940705624,34152.32215171783,34163.559636473175
HIICLAIMS,Hawaii,ARIMA,9,"(3, 1, 1)",198.7610641617653,198.7610641617653,33919.273578938475,33947.36729082683
HIICLAIMS,Hawaii,ARIMA,10,"(2, 1, 1)",198.843924826615,198.843924826615,33920.04950355853,33942.524473069214
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,1,"(5, 1, 3)",1834.336865167224,756.5391939427566,26127.541343201174,26220.21349763168
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,2,"(2, 1, 1)",1876.898589691559,670.7692172403107,26275.094497023638,26340.531093582755
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,3,"(3, 1, 1)",1876.9566599050647,668.3329097360846,26256.879816557877,26327.761899049383
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,4,"(2, 1, 0)",1880.2080384443757,666.6531484392385,26411.062756170537,26471.046303016392
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,5,"(0, 1, 0)",1882.1168125905851,641.4526369316642,26715.57427657995,26764.656957397077
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,6,"(3, 1, 0)",1883.0159294513055,669.9395153499844,26340.45504785023,26405.88466245777
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,7,"(0, 1, 2)",1883.3185294540308,657.8020415219319,26270.199543717245,26330.17669044083
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,8,"(1, 1, 0)",1884.2005813164803,673.6775899875158,26606.87426116101,26661.41057318004
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,9,"(1, 1, 1)",1884.7081621941536,684.9021399145009,26303.063470315723,26363.04701716158
HIICLAIMS,Hawaii,Rolling-CV SARIMAX,10,"(0, 1, 1)",1886.6942525054812,706.6814525896399,26416.83944215953,26471.36993929212
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,1,"(1, 0, 2)",2259.029204155781,351.4700913969725,11984.059696300232,12063.328455425408
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,2,"(1, 0, 3)",2317.824170344477,319.2771549959512,12011.602158056572,12095.510499757536
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,3,"(5, 0, 1)",2382.43990797893,352.23158517699727,11961.94499679634,12055.150580348614
