p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
3,0,6,2709.9119881781444,11937.554119957045,12044.680835556732,16,16
3,1,0,3710.288259325771,11911.881420999869,11991.128188161889,16,16
3,1,1,3598.2208858220038,11861.700321053715,11945.608662754677,16,16
3,1,2,3810.9832120237797,11860.680775749619,11949.250691989524,16,16
3,1,3,3799.0637075797467,11805.621585394572,11898.827168946842,16,16
3,1,4,3829.9097062221526,11781.580099597784,11879.418723596502,16,16
3,1,5,3788.829740237866,11767.411487945039,11869.88052025778,16,16
3,1,6,3754.153399572724,11754.84167508136,11861.938478289989,16,16
4,0,0,2636.951050324813,11982.352775279098,12066.261116980062,16,16
4,0,1,2671.0148817818895,12040.114917627423,12128.684833867326,16,16
4,0,2,2701.3043130583724,12039.782517596625,12133.014008375472,16,16
4,0,3,2715.18014474814,12030.774647321909,12128.667712639699,16,16
4,0,4,2723.4875832640687,11995.886759736495,12098.412901643995,16,16
4,0,5,2706.3582474092855,11971.217823234121,12078.374411423194,16,16
4,0,6,2708.9966654319264,11941.590380518042,12053.37477940467,16,16
4,1,0,3728.2766894704178,11873.512239089989,11957.397264287036,16,16
4,1,1,4144.2515758291665,11847.332889612415,11935.878193987073,16,16
4,1,2,3939.9775990006983,11853.61501490949,11946.820598461762,16,16
4,1,3,4885.7669416672,11808.165487447037,11906.031350176923,16,16
4,1,4,4776.153036958561,11784.66954565653,11887.167151750426,16,16
4,1,5,3675.106841537386,11769.239138236968,11876.365853836653,16,16
4,1,6,3749.963206083307,11756.415219293138,11868.16840524997,16,16
5,0,0,2610.4577551591656,11956.254647598158,12044.799951972816,16,16
5,0,1,2382.43990797893,11961.944996796341,12055.150580348614,16,16
5,0,2,2697.2100295450946,12003.322184851699,12101.188047581585,16,16
5,0,3,2719.6649648496127,12025.919810091804,12128.445951999303,16,16
5,0,4,2711.0261243664063,11982.618215115664,12089.804636200777,16,16
5,0,5,2748.434882672705,11955.902479061695,12067.718049345945,16,16
5,0,6,2718.1457345724825,11939.019803308578,12055.46188548215,16,16
5,1,0,3762.6871663147513,11859.861131733316,11948.38179154168,16,16
5,1,1,4063.777857445738,11833.42981282416,11926.609454727703,16,16
5,1,2,4125.657904234046,11831.75222860205,11929.590852600772,16,16
5,1,3,5476.423998192721,11831.07110329221,11933.568709386105,16,16
5,1,4,4963.59511613273,11786.402693526747,11893.55928171582,16,16
5,1,5,3720.546267986068,11770.006251648265,11881.790650534893,16,16
5,1,6,3675.024095374427,11758.403616130618,11874.81318483565,16,16
6,0,0,2797.0282466851468,11943.635179620589,12036.814821524133,16,16
6,0,1,2535.2853255237696,11944.542146333592,12042.38077033231,16,16
6,0,2,2731.50425721464,11983.309935917647,12085.807542011544,16,16
6,0,3,6214.421813109062,12385.997096787954,12493.153684977027,16,16
6,0,4,2719.572011983242,11959.958767455355,12071.774337739607,16,16
6,0,5,2716.1784932977876,11956.955409008578,12073.429961388007,16,16
6,0,6,2746.003791799131,11937.876629655366,12058.976395115882,16,16
6,1,0,3750.88203214083,11840.131561431746,11933.285227170603,16,16
6,1,1,3992.8245886002437,11806.133284464278,11903.944633490079,16,16
6,1,2,3702.419921761833,11802.148742058522,11904.617774371265,16,16
6,1,3,5469.226450736109,11825.294139366266,11932.420854965952,16,16
6,1,4,4967.659150996684,11774.609334184473,11886.393733071101,16,16
6,1,5,5034.303902192463,11771.93524821244,11888.377330386009,16,16
6,1,6,3642.4635654565277,11756.511283887728,11877.577235340963,16,16
7,0,0,2885.088832946982,11925.413628327417,12023.224977353218,16,16
7,0,1,2684.2931605176204,11978.575946588242,12081.044978900984,16,16
7,0,2,2716.8440011617986,11977.013986994098,12084.140702593782,16,16
7,0,3,2741.624333117619,12039.088627304156,12150.873026190786,16,16
7,0,4,2740.4559874561696,11939.97710121555,12056.419183389124,16,16
7,0,5,2734.241081237131,11942.381198518302,12063.480963978816,16,16
7,0,6,2738.674630455187,11942.010684454315,12067.768133201775,16,16
7,1,0,3754.023553682168,11808.39807770746,11906.182115419688,16,16
7,1,1,3926.264022531536,11786.422716917485,11888.863137377914,16,16
7,1,2,3615.9541663697605,11786.898990357036,11893.995793565666,16,16
7,1,3,4935.494893225133,11796.57782326419,11908.33100922102,16,16
