p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
6,1,2,50884.07234912347,36406.208472136284,36498.62308631887,17,17
6,1,3,57829.613831132476,36461.78891093711,36559.639678895146,17,17
6,1,4,54056.69761896451,36414.44553233614,36517.732454069606,17,17
6,1,5,63984.246175985194,36415.99173419256,36524.71480970147,17,17
6,1,6,62931.46595458323,36390.74368756904,36504.89049755283,17,17
7,0,0,3388194.8339163773,36434.08062916489,36521.05908957202,17,17
7,0,1,15478843.955549642,36354.03323423762,36446.4478484202,17,17
7,0,2,14158325.368512925,36349.457195403884,36447.30796336191,17,17
7,0,3,173398808683316.5,37670.41487052803,37773.701792261505,17,17
7,0,4,7984045.723177457,36335.00499975952,36443.728075268424,17,17
7,0,5,7152039.422849821,36345.27159085643,36459.430820140784,17,17
7,0,6,8578546.998342061,36356.67290949931,36476.26829255913,17,17
7,1,0,55715.43333736828,36450.9644800289,36537.9334781118,17,17
7,1,1,55078.88033830006,36379.32136628013,36471.725926743195,17,17
7,1,2,52493.15449255786,36372.99515950776,36470.83528235101,17,17
7,1,3,52035.70252694412,36388.16214157753,36491.43782680096,17,17
7,1,4,58658.99663286022,36426.56383144368,36535.27507904728,17,17
7,1,5,55340.982732578734,36394.07716779119,36508.22397777497,17,17
7,1,6,60531.861973780884,36360.23827168041,36479.820644044376,17,17
8,0,0,12208885.13433602,36380.021389945075,36472.42595040814,17,17
8,0,1,11323171.150294876,36326.92831405489,36424.76843689813,17,17
8,0,2,16454081.283660265,36310.74604123127,36414.0217264547,17,17
8,0,3,821505.2873258847,36877.57680266134,36986.28805026494,17,17
8,0,4,7.807063064717443e+118,41407.18948309233,41521.336293076114,17,17
8,0,5,9030345.902010925,36355.54742284847,36475.12979521242,17,17
8,0,6,4556572032.364904,36415.1304670926,36540.14840183674,17,17
8,1,0,55208.927981074274,36407.85591578726,36500.2504165477,17,17
8,1,1,54941.09131049608,36358.16059642768,36455.99006782108,17,17
8,1,2,53477.1345640504,36359.3725669129,36462.63700893927,17,17
8,1,3,54276.13337779336,36353.54929039691,36462.24870305625,17,17
8,1,4,56963.19842380815,36387.11398630252,36501.248369594825,17,17
8,1,5,55754.36417262915,36384.91136232585,36504.480716251135,17,17
8,1,6,58746.26077212202,36339.01293708693,36464.01726164518,17,17
