p,d,q,AIC,BIC,RMSE
5,1,0,45658.33852220441,45691.919888833276,4621.719435366583
5,1,1,45561.80448010473,45600.98274117174,4818.841826735915
5,1,2,45549.56107301505,45594.33622852021,4798.144296073004
5,1,3,45545.46010010702,45595.83215005032,4801.6650704795
5,1,4,45546.35977980385,45602.328724185296,4827.803222334759
5,1,5,45548.38304761883,45609.94888643842,4828.865344735248
5,1,6,45548.232545837265,45615.395279095,4769.307569775643
6,0,0,45592.66924018746,45637.448410749166,16088.780479249637
6,0,1,45586.99927528486,45637.37584216678,16167.72068362565
6,0,2,45563.77395712569,45619.74792032782,14026.051887634621
6,0,3,45545.12269815593,45606.69405767827,13769.34087278562
6,0,4,45543.51305541485,45610.681811257404,14433.619894006091
6,0,5,45546.592354164524,45619.35850632729,14837.110458447007
6,0,6,45548.430777477144,45626.79432596012,14585.814415509503
6,1,0,45609.983771093604,45649.16203216062,4664.117129507801
6,1,1,45551.37455834462,45596.14971384978,4832.834013268664
6,1,2,45546.34240817403,45596.714458117334,4836.441853589866
6,1,3,45547.04605532202,45603.01499970346,4836.736442393944
6,1,4,45548.382933520115,45609.9487723397,4841.571586339543
6,1,5,45549.766738843406,45616.92947210114,4804.0759318008695
6,1,6,45550.54657569142,45623.3062033873,4815.371249436626
7,0,0,45566.361906396014,45616.73847327793,15725.20179892437
7,0,1,45548.69106703649,45604.66503023862,14198.353462406205
7,0,2,45544.97762299842,45606.54898252076,14083.32320821585
7,0,3,45548.9269922814,45616.09574812395,13918.54460515458
7,0,4,45547.67301054409,45620.439162706854,14035.974390712696
7,0,5,45554.84221804642,45633.2057665294,13991.095509200444
7,0,6,45548.566376628914,45632.527321432106,14537.711978913292
7,1,0,45604.58861581248,45649.363771317636,4635.105156903016
7,1,1,45549.93267783085,45600.30472777416,4826.778342616499
7,1,2,45548.09455699404,45604.06350137548,4836.534844445876
7,1,3,45548.98552966342,45610.55136848301,4838.608949629734
7,1,4,45550.020978109285,45617.18371136702,4842.663878496037
7,1,5,45549.638213550475,45622.397841246355,4797.9963099905735
7,1,6,45546.938388502385,45625.29491063641,4839.80203563516
8,0,0,45566.94708909925,45622.92105230138,15621.675448661275
8,0,1,45569.75963025953,45631.33098978187,15750.906673290769
8,0,2,45551.83098701502,45618.99974285757,14221.14768757852
8,0,3,45544.47780339792,45617.24395556068,13837.153186312009
8,0,4,45544.97699831408,45623.34054679706,14016.437155798072
8,0,5,45549.892650190886,45633.85359499408,14534.205584724546
8,0,6,45555.51939086588,45645.07773198928,13900.43121410702
8,1,0,45577.50566745481,45627.877717398114,4599.133635941773
8,1,1,45548.54540497456,45604.514349356,4866.346499384656
8,1,2,45548.767719990195,45610.33355880978,4846.597889907487
8,1,3,45550.15434603388,45617.31707929161,4848.6407775365915
8,1,4,45548.89640890446,45621.65603660034,4825.547434381297
8,1,5,45553.85885677877,45632.21537891279,4842.670653327394
8,1,6,45557.72949120177,45641.68290777394,4835.967173662146
