p,d,q,AIC,BIC,RMSE
6,1,1,45443.89217939749,45488.667334902646,4832.834483427075
6,1,2,45438.923938410655,45489.29598835396,4836.330527287231
6,1,3,45439.59853135316,45495.5674757346,4836.558067528759
6,1,4,45440.93122736525,45502.497066184835,4841.450861672593
6,1,5,45442.20943591946,45509.37216917719,4800.562933482099
6,1,6,45443.72895195063,45516.48857964651,4821.434721084198
7,0,0,45458.875096895776,45509.25166377769,15750.761490460103
7,0,1,45441.16293584857,45497.1368990507,14220.307320909358
7,0,2,45437.50363601382,45499.07499553616,14104.553114606162
7,0,3,45441.16531451883,45508.33407036139,13939.747985062582
7,0,4,45440.60820064819,45513.374352810955,14003.63656860815
7,0,5,45447.417307146956,45525.780855629935,13897.075512320325
7,0,6,45441.11164991466,45525.07259471785,14559.952152102653
7,1,0,45497.12181982096,45541.89697532612,4634.805530502496
7,1,1,45442.470902917325,45492.84295286063,4826.638744972387
7,1,2,45440.67209411092,45496.641038492366,4836.415163150731
7,1,3,45441.53370975793,45503.09954857752,4838.469814541083
7,1,4,45442.380213199765,45509.5429464575,4842.380406315542
7,1,5,45441.75788928836,45514.51751698424,4797.991095544763
7,1,6,45439.939295168966,45518.29581730299,4847.6047551573365
8,0,0,45459.44780389643,45515.42176709856,15646.604772815142
8,0,1,45462.28704618209,45523.858405704435,15775.689494106562
8,0,2,45445.141261430595,45512.31001727315,14184.684883762351
8,0,3,45437.666142227245,45510.43229439001,13810.097714883685
8,0,4,45437.52789847212,45515.8914469551,14556.598428776797
8,0,5,45442.7076790642,45526.668623867394,14620.998173928245
8,0,6,45464.55488073621,45554.11322185961,14463.984070350114
8,1,0,45470.097306667994,45520.4693566113,4598.93312709685
8,1,1,45441.08586171006,45497.0548060915,4866.224353893382
8,1,2,45441.32663342488,45502.892472244464,4846.613337860228
8,1,3,45442.70679002997,45509.86952328771,4848.331769543602
8,1,4,45441.56343448552,45514.3230621814,4827.171395277819
8,1,5,45446.402414740005,45524.75893687403,4842.524858597822
8,1,6,45450.2626564535,45534.21607302567,4835.173799797674
