p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
4,1,0,62129.29730310403,36460.87236535131,36531.55772700492,17,17
4,1,1,53291.77846365416,36368.6157672894,36444.73846445483,17,17
4,1,2,54854.34805961935,36395.06561460621,36476.62564728345,17,17
4,1,3,59924.601010225975,36384.80369345773,36471.80106164679,17,17
4,1,4,57049.802149277006,36321.19144476727,36413.61610669341,17,17
4,1,5,58125.107697550644,36297.10340494496,36394.95417290298,17,17
4,1,6,58802.92826633147,36283.23925094775,36386.514936171174,17,17
5,0,0,65457.32920201675,36452.51618813706,36528.638885302484,17,17
5,0,1,64833.78620551432,36388.988445037685,36470.548477714925,17,17
5,0,2,63395.1776644111,36433.79412714347,36520.791495332516,17,17
5,0,3,56793.517679582714,36366.798898814945,36459.23360251582,17,17
5,0,4,1183689.4837887604,36325.40771750636,36423.27975671905,17,17
5,0,5,58439.87840903529,36397.60485469147,36500.90300625596,17,17
5,0,6,56331.167582702765,36293.222035680345,36401.94511118925,17,17
5,1,0,59903.66400374124,36431.561899243854,36507.67632671243,17,17
5,1,1,52211.6218201061,36349.006539637165,36430.55771192493,17,17
5,1,2,51872.108355853205,36353.978887460646,36440.966804567586,17,17
5,1,3,51172.87520226533,36453.52462815764,36545.94929008378,17,17
5,1,4,69472.5292771143,36355.42875629064,36453.290163035956,17,17
5,1,5,60618.91505749209,36308.99468330381,36412.28160503728,17,17
5,1,6,61179.34125389981,36287.425514575894,36396.13676217951,17,17
6,0,0,65292.408747761896,36424.46267240767,36506.01384469544,17,17
6,0,1,64683.43785004119,36369.48040600168,36456.46832310863,17,17
6,0,2,56403.24865291847,36318.58480108135,36411.00946300748,17,17
6,0,3,4.0418982554822515e+97,40175.443518725406,40273.218954403914,16,17
6,0,4,553276.3921587475,36301.65597264403,36404.954124208525,17,17
6,0,5,6271469.3045127075,36282.986477792474,36391.721374176166,17,17
6,0,6,553642.3021798406,36277.18452350325,36391.34375278762,17,17
6,1,0,58749.19439199518,36397.47420465611,36479.016511287795,17,17
6,1,1,51735.90887565065,36320.826572796985,36407.805033204124,17,17
6,1,2,50824.403768906894,36305.44485053311,36397.85946471569,17,17
6,1,3,52013.49706050355,36359.349327300595,36457.20009525861,17,17
6,1,4,64453.369440237446,36311.779437973964,36415.06635970743,17,17
6,1,5,62223.77203333749,36314.603858960065,36423.32693446898,17,17
6,1,6,59073.84926187812,36289.876971470774,36404.023781454554,17,17
7,0,0,3263547.7672526953,36333.66708570655,36420.64554611367,17,17
7,0,1,14935093.337656096,36253.30549447092,36345.72010865349,17,17
7,0,2,13478955.54667471,36248.82404239089,36346.674810348915,17,17
7,0,3,15603389284.031729,37608.49584886509,37711.78277059858,17,17
7,0,4,7217313.340787864,36234.17542325225,36342.89849876116,17,17
7,0,5,6587405.496659387,36241.77198079515,36355.93121007952,17,17
7,0,6,8187783.532679202,36255.33258436594,36374.92796742574,17,17
7,1,0,55745.16494368826,36350.341957469594,36437.31095555248,17,17
7,1,1,54692.428250378245,36278.52983007075,36370.934390533825,17,17
7,1,2,52360.885252745415,36272.175504259336,36370.015627102584,17,17
7,1,3,59505.13180784277,36295.79344878867,36399.0691340121,17,17
7,1,4,55883.03764010815,36338.51150353127,36447.222751134876,17,17
7,1,5,54731.480566331695,36293.23179002152,36407.378600005315,17,17
7,1,6,56737.99578179496,36259.24037797195,36378.822750335916,17,17
8,0,0,11820100.275425395,36279.65419146753,36372.0587519306,17,17
8,0,1,7873855.893344162,36226.27191615944,36324.112039002684,17,17
8,0,2,15958111.677243812,36210.65911002792,36313.93479525135,17,17
8,0,3,1250320.4477392626,36536.74803184696,36645.45927945056,17,17
8,0,4,11418505.307550939,33814.08667958033,33927.442312584775,12,17
8,0,5,8802753.866327895,36249.99429551192,36369.576667875896,17,17
8,0,6,48843893204.734344,36359.56158834981,36484.57952309397,17,17
8,1,0,55126.71404927517,36307.26697102535,36399.6614717858,17,17
8,1,1,54444.45215341698,36257.3358628116,36355.165334205005,17,17
8,1,2,53236.10881229465,36258.546682823384,36361.81112484976,17,17
8,1,3,52379.63995095717,36253.52691894665,36362.22633160599,17,17
8,1,4,55095.47650914389,36282.76454400964,36396.898927301954,17,17
8,1,5,54163.77578596716,36286.504672549774,36406.074026475064,17,17
8,1,6,56808.347633707126,36242.41052529073,36367.41484984898,17,17
