p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
3,0,3,30928.568735902114,17294.90067391411,17388.132164692957,16,16
3,0,4,30855.794504923993,17272.616328119686,17370.482190849572,16,16
3,0,5,31512.24422221937,17249.0781494522,17351.575755546095,16,16
3,0,6,31491.796890933787,17225.046383617166,17332.173099216852,16,16
3,1,0,67459.67428450072,17289.171937062187,17368.41870422421,16,16
3,1,1,70800.29969239762,17243.156641767786,17327.06498346875,16,16
3,1,2,67254.73250050441,17271.69929224757,17360.269208487476,16,16
3,1,3,70312.18487113675,17218.957951948687,17312.163535500964,16,16
3,1,4,69463.7168409149,17190.719358484534,17288.557982483253,16,16
3,1,5,72758.56479883718,17166.798016304354,17269.267048617097,16,16
3,1,6,66068.77897359812,17146.117163095267,17253.213966303898,16,16
4,0,0,30931.36274019374,17299.105881494055,17383.01422319502,16,16
4,0,1,30778.140037682562,17294.744545661648,17383.314461901555,16,16
4,0,2,30968.259609178214,17303.80116224651,17397.03265302536,16,16
4,0,3,30934.404273947523,17296.024224960333,17393.91729027812,16,16
4,0,4,30980.635965917372,17262.700707974927,17365.226849882427,16,16
4,0,5,31569.85262847093,17243.62731244421,17350.78390063328,16,16
4,0,6,31562.435696524713,17219.322078051053,17331.106476937675,16,16
4,1,0,67009.70362736491,17248.324208294747,17332.209233491794,16,16
4,1,1,66794.69646163302,17221.194459335828,17309.739763710488,16,16
4,1,2,72344.10810922636,17235.76124052812,17328.966824080395,16,16
4,1,3,68478.67799944094,17265.923787814318,17363.789650544204,16,16
4,1,4,74169.91519134634,17188.19233931535,17290.68994540924,16,16
4,1,5,67288.03341446124,17171.63707947442,17278.76379507411,16,16
4,1,6,65784.37141861336,17144.77610452317,17256.52929048,16,16
5,0,0,30913.369601586382,17277.872297903123,17366.417602277783,16,16
5,0,1,30752.566983338853,17273.120593504147,17366.32617705642,16,16
5,0,2,30633.853509232078,17271.85106555526,17369.716928285146,16,16
5,0,3,2.73107128414896e+17,17502.498975926752,17605.02511783425,16,16
5,0,4,31107.27302294057,17262.25678022514,17369.443201310256,16,16
5,0,5,31397.590104238512,17243.39440613537,17355.209976419617,16,16
5,0,6,31087.877793420088,17215.294583050403,17331.736665223973,16,16
5,1,0,67009.49055955045,17224.154977552025,17312.675637360393,16,16
5,1,1,70869.0255511291,17198.8628371978,17292.042479101343,16,16
5,1,2,73586.07247268085,17192.102951869427,17289.941575868146,16,16
5,1,3,73778.88202853742,17217.835608715002,17320.333214808896,16,16
5,1,4,71935.51283977505,17208.01034386272,17315.16693205179,16,16
5,1,5,67430.76805975536,17172.076398514317,17283.860797400943,16,16
5,1,6,66207.4773250139,17140.306407155356,17256.71597586039,16,16
6,0,0,31051.601548868643,17254.769916303976,17347.949558207518,16,16
6,0,1,30978.796512338573,17251.778222391666,17349.61684639038,16,16
6,0,2,30994.38289140531,17252.927073193423,17355.424679287316,16,16
6,0,3,31121.68535422886,17288.17937434485,17395.335962533925,16,16
6,0,4,30959.328920122898,17240.397116589527,17352.212686873776,16,16
6,0,5,31001.04483135355,17245.833286335357,17362.307838714783,16,16
6,0,6,31037.076005059906,17217.257745262876,17338.357510723392,16,16
6,1,0,66900.82631515809,17199.670281707662,17292.82394744652,16,16
6,1,1,66791.09730497673,17176.85617745782,17274.667526483623,16,16
6,1,2,66477.26680433041,17170.039124008923,17272.508156321666,16,16
6,1,3,19974611170904.582,17491.048216373238,17598.17493197292,16,16
6,1,4,67660.82432300749,17201.47932258942,17313.263721476047,16,16
6,1,5,64588.8577773764,17163.041777701703,17279.483859875272,16,16
6,1,6,65093.32116015941,17136.9485247584,17258.014476211636,16,16
7,0,0,30964.559362854237,17233.525683840584,17331.337032866384,16,16
7,0,1,30987.289855037983,17232.507095668712,17334.976127981456,16,16
7,0,2,30970.097583384762,17225.78069330656,17332.90740890625,16,16
7,0,3,6.662622208517356e+29,17701.89829534639,17813.68269423302,16,16
7,0,4,31031.088194611522,17217.58412441612,17334.02620658969,16,16
7,0,5,32246.821618371956,17218.85156613468,17339.95133159519,16,16
7,0,6,31779.079654391797,17218.606170525956,17344.363619273412,16,16
7,1,0,66826.59062086957,17169.978399730186,17267.762437442412,16,16
7,1,1,66784.53624934072,17148.47035715281,17250.910777613237,16,16
7,1,2,66417.55508363532,17145.66555111162,17252.76235432025,16,16
7,1,3,15019221329.456228,17320.842341803396,17432.59552776023,16,16
7,1,4,66069.60621967122,17189.26308379265,17305.672652497688,16,16
7,1,5,65868.01947279392,17135.227488244887,17256.29343969812,16,16
7,1,6,62683.479607964095,17138.01579716098,17263.738131362414,16,16
8,0,0,30970.60398040836,17210.22333302908,17312.66375348951,16,16
8,0,1,30937.739013432605,17208.564238826748,17315.661042035375,16,16
8,0,2,30927.87020765589,17210.093515191355,17321.846701148184,16,16
8,0,3,31110.8137152436,17210.726355816078,17327.13592452111,16,16
8,0,4,inf,18173.8328946429,18293.662074970238,13,16
8,0,5,3512958.9770710827,17252.309387783822,17378.03172198526,16,16
8,0,6,30931.541855342744,17200.970326039707,17331.349042989343,16,16
8,1,0,66797.61957017958,17139.038428526117,17241.450198959028,16,16
8,1,1,66795.31577984369,17123.078888931046,17230.145739838175,16,16
8,1,2,66260.83129621662,17113.892207238885,17225.614138620243,16,16
8,1,3,66464.49711725838,17144.56927361114,17260.94628546672,16,16
8,1,4,66987.02511602128,17169.533091804245,17290.56518413405,16,16
8,1,5,66128.1433664026,17136.75142109639,17262.438593900413,16,16
8,1,6,67153.76236594714,17119.23383660184,17249.576089880087,16,16
