p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
6,1,2,50885.76144722443,36406.208484441355,36498.62309862394,17,17
6,1,3,72367.81673143622,36444.11167643149,36541.962444389515,17,17
6,1,4,54049.68776359103,36414.445618873164,36517.73254060663,17,17
6,1,5,64972.05943827883,36415.926083611186,36524.649159120105,17,17
6,1,6,63016.42594945566,36390.72295615484,36504.86976613862,17,17
7,0,0,3388194.833807054,36434.08062916489,36521.05908957202,17,17
7,0,1,15478844.070200846,36354.0375426204,36446.452156802974,17,17
7,0,2,14160174.128832867,36349.46179425767,36447.3125622157,17,17
7,0,3,92817456698620.81,37650.28065968798,37753.56758142145,17,17
7,0,4,7984096.709417673,36335.05104877325,36443.774124282165,17,17
7,0,5,7210976.467528408,36345.28491656822,36459.44414585257,17,17
7,0,6,8591333.906468704,36356.72029748595,36476.31568054575,17,17
7,1,0,55715.43333736827,36450.964480028895,36537.9334781118,17,17
7,1,1,55078.883355137536,36379.32136624392,36471.725926706975,17,17
7,1,2,52493.14403542159,36372.99515950421,36470.835282347456,17,17
7,1,3,52034.36968811806,36388.16949253429,36491.44517775771,17,17
7,1,4,58726.12177592289,36426.562195028455,36535.27344263206,17,17
7,1,5,55465.847000613634,36393.90183293252,36508.04864291631,17,17
7,1,6,60152.836710235555,36360.1550963035,36479.73746866745,17,17
8,0,0,12208885.134370258,36380.021389945075,36472.42595040814,17,17
8,0,1,11349620.842040807,36326.92840001239,36424.76852285565,17,17
8,0,2,16453083.413250728,36310.866206983184,36414.141892206615,17,17
8,0,3,889113.9713266023,36874.66352787804,36983.374775481636,17,17
8,0,4,1.3611905723445481e+111,41651.965426987816,41766.1122369716,17,17
8,0,5,8899526.359384352,36355.60705772629,36475.18943009024,17,17
8,0,6,1155735255.9053416,36420.82770458743,36545.84563933158,17,17
8,1,0,55208.927981074274,36407.85591578726,36500.2504165477,17,17
8,1,1,54941.09196175952,36358.16059642919,36455.99006782259,17,17
8,1,2,53457.69377129845,36359.37256958781,36462.637011614184,17,17
8,1,3,53004.86780946921,36353.545113888395,36462.244526547736,17,17
8,1,4,56981.136302657236,36387.11571623076,36501.250099523066,17,17
8,1,5,55523.7972076197,36385.021328669754,36504.590682595044,17,17
8,1,6,58747.52521383526,36339.11462590324,36464.11895046148,17,17
