p,d,q,AIC,BIC,RMSE
3,1,5,45357.302573474015,45452.3984968323,7279.6810715727015
3,1,6,45333.3208661087,45434.00160158488,7248.112809715013
4,0,0,45571.69943480933,45644.43946943443,55049.055033691904
4,0,1,45497.78798295414,45576.123404858095,38647.227901378836
4,0,2,45498.5718066516,45582.502615834404,38052.874643058836
4,0,3,45533.55785375877,45623.08405022044,42830.45500565161
4,0,4,45456.6217485311,45551.73478311378,33509.46352215391
4,0,5,45436.70052718725,45537.39938955318,32955.72567780514
4,0,6,45412.89514807206,45519.178827119555,33695.747164690416
4,1,0,45543.55380304614,45616.28730007995,7948.713138760729
4,1,1,45416.29428898687,45494.6226704079,7196.905819329948
4,1,2,45493.916740267654,45577.8400060759,7280.761509889823
4,1,3,45400.54638092911,45490.064531124575,7264.2950518199705
4,1,4,45374.242071216315,45469.346552339695,7191.004376443315
4,1,5,45353.351777945805,45454.041579148696,7178.486863351898
4,1,6,45332.861756248574,45439.13586591788,7166.915784488935
5,0,0,45521.37950134656,45599.70788276759,53464.49383164546
5,0,1,45521.683531498114,45605.60679730636,54317.85724439058
5,0,2,45453.965567883075,45543.48371807854,35439.738857357166
5,0,3,45451.78101358841,45546.89404817109,33879.798188945904
5,0,4,45480.47330282393,45581.18122179383,29880.940772027436
5,0,5,45432.41735942714,45538.71060303562,36433.58405761883
5,0,6,45408.5250089902,45520.4025658823,37513.50704184608
5,1,0,45515.84441147199,45594.165748867716,7864.913090417151
5,1,1,45395.68557443946,45479.60129307774,7202.211226225422
5,1,2,45381.92841336803,45471.43851324885,7241.980820285826
5,1,3,45377.255242073385,45472.359723196765,7252.549519289483
5,1,4,45375.69303477416,45476.39189714009,7186.50090163154
5,1,5,45354.86830361777,45461.151982665266,7175.861172344712
5,1,6,45334.91922943815,45446.78671330058,7163.800508166384
6,0,0,45499.91671247029,45583.83243110857,53062.28341608948
6,0,1,45497.19699303454,45586.70709291536,53777.6527668922
6,0,2,45433.994666523795,45529.099147647175,35391.29375183165
6,0,3,57155.24253589174,57255.94139825767,3.3141686250591483e+58
6,0,4,45468.06289772658,45574.35614133506,34570.64787636433
6,0,5,45432.22042448155,45544.108049332586,38315.98254654374
6,0,6,45410.3038625443,45527.775297281005,37772.43164422742
6,1,0,45441.84869075157,45525.756858420646,7665.399760415391
6,1,1,45357.74525024766,45447.24729576134,7194.074002415693
6,1,2,45354.41203374537,45449.507957103655,7189.2716969107605
6,1,3,45354.510727174784,45455.200528377674,7189.234082330112
6,1,4,45355.51723523134,45461.800914278836,7167.269242671647
6,1,5,45357.06607183335,45468.94362872546,7208.982916018519
6,1,6,45336.9072125228,45454.36807057835,7161.530008082211
7,0,0,45443.18410663971,45532.686152153394,50533.8845523965
7,0,1,45409.407312129675,45504.50323548796,37784.49111979438
7,0,2,45407.329533634285,45508.019334837176,36941.41406838419
7,0,3,48176.08671611079,48282.37039515829,4541920052830.165
7,0,4,45411.19179550516,45523.069352397266,35261.8271905388
7,0,5,45411.90986939221,45529.38130412892,36074.13561197106
7,0,6,45411.89209197486,45534.957404556175,37826.47363202037
7,1,0,45410.69841190068,45500.19239899062,7732.209160068533
7,1,1,45335.73902826736,45430.82638955042,7191.819619549754
7,1,2,45333.336685270784,45434.01742074697,7190.801477651313
7,1,3,45331.946434407706,45438.22054407701,7190.357095259362
7,1,4,45332.16501985931,45444.03250372174,7156.28275935621
7,1,5,45336.18521340509,45453.646071460644,7258.24342256081
7,1,6,45335.89808771318,45458.95231996185,7187.952557057043
8,0,0,45419.66566314116,45514.75302442422,49547.305401303944
8,0,1,45387.780252571036,45488.46098804722,36988.85588088567
8,0,2,45384.94987231976,45491.22398198907,36238.012265422636
8,0,3,45938.84366004131,46050.71114390374,39901.670888931054
8,0,4,51262.88071542242,51380.34157347797,2.2657383512454466e+42
8,0,5,45390.390318599486,45513.44455084815,34963.94276394034
8,0,6,45390.36380189753,45519.01140833932,38119.0240113437
8,1,0,45357.07867593906,45452.157470832426,7840.432421985059
8,1,1,45310.0348419989,45410.70650718011,7139.810572678547
8,1,2,45310.79798418368,45417.06251965273,7171.700371770372
8,1,3,45312.0520092565,45423.9094150134,7172.837444209691
8,1,4,45312.698447606,45430.148723650746,7200.093786485528
8,1,5,45315.028310089234,45438.07145642182,7221.366758269995
8,1,6,45315.53840558279,45444.17442220322,7180.053157581382
